phase2_index,sim_score,triplets_index
70476,1.0,13581
70973,0.9792,11694
70671,0.9741,10666
70773,0.9722,8261
83836,0.9651,10577
83863,0.9639,10587
72178,0.9605,14203
70506,0.9601,15044
70771,0.9577,19972
70505,0.9485,15044
70972,0.9262,11689
70772,0.9252,8261
84472,0.8477,19972
84305,0.8477,19972
70770,0.8311,19972
70670,0.8304,10666
77942,0.8121,19972
77932,0.8102,19972
84474,0.7883,10893
71353,0.7676,14203
71013,0.7592,10271
75980,0.75,18638
84413,0.749,19972
84446,0.749,19972
71135,0.7361,13713
70975,0.7352,15951
73947,0.7292,10271
72179,0.7222,14203
70675,0.7209,13515
71352,0.7159,14203
70673,0.7119,13515
70674,0.7039,13515
77308,0.7024,13515
73888,0.6917,10271
70672,0.6885,13515
70974,0.6875,15954
77323,0.6857,13515
71156,0.6692,19758
70544,0.6667,11328
70699,0.6495,9917
71011,0.6494,19659
71010,0.6437,19659
70698,0.6392,9917
71155,0.639,19758
70738,0.6382,13612
83462,0.6376,19659
81757,0.6361,15954
83464,0.6353,19659
70746,0.6302,13595
70486,0.6279,19668
83465,0.6277,19659
83463,0.6272,19659
70739,0.6235,13612
83754,0.6143,8324
70747,0.6117,13595
70660,0.6061,13366
71136,0.6054,13713
82371,0.5993,9917
76022,0.5802,13366
70684,0.5641,13713
70451,0.5627,18638
70615,0.553,19668
70485,0.5496,19668
74195,0.5469,13713
74159,0.5388,13713
70927,0.5374,15167
70984,0.534,19690
70926,0.5281,15167
71009,0.5266,19659
74351,0.5166,19659
74753,0.5166,19659
74485,0.5166,19659
82255,0.5147,9917
82207,0.513,9917
82313,0.5113,9917
70681,0.4885,13966
74234,0.483,13713
70408,0.4828,19668
70409,0.4808,19668
70557,0.4776,19668
71154,0.4766,19668
70680,0.4741,13966
71153,0.4739,19668
70537,0.4686,19668
74619,0.4646,19659
71720,0.4583,16191
70538,0.4569,19668
74887,0.4474,11009
70881,0.4444,11400
75050,0.4358,13713
75083,0.4358,13713
82853,0.4255,19668
83056,0.4249,19668
70685,0.4184,13713
82650,0.4179,19668
83259,0.416,19668
71012,0.4045,10271
70665,0.3915,19668
74003,0.391,19668
74007,0.3905,19668
75979,0.3871,19659
70664,0.3851,19668
75975,0.3824,19659
75035,0.3816,19668
75029,0.3813,19668
75022,0.3813,19668
75974,0.3782,19659
75976,0.3782,19659
73997,0.3735,19668
74012,0.3732,19668
75041,0.3638,19668
70728,0.3575,15180
85227,0.3549,19668
85231,0.3549,19668
85165,0.3546,19668
85111,0.3473,19668
75967,0.3442,19668
75804,0.3441,19668
70525,0.3364,10571
75960,0.333,19668
75798,0.3267,19668
75117,0.3265,13713
70774,0.3182,14791
70775,0.3125,14791
70661,0.3099,11006
72772,0.303,16191
83872,0.2952,9928
76102,0.291,10593
76075,0.291,10593
76048,0.2901,10593
76123,0.2901,10593
82096,0.2896,19668
82166,0.2894,19668
72768,0.2886,19668
70450,0.2867,15986
85490,0.2862,19960
85497,0.2862,19960
85504,0.2862,19960
85511,0.2862,19960
82163,0.285,19668
82158,0.2825,19668
84172,0.2775,14791
70389,0.2758,18636
70626,0.2719,9988
