,method,test
0,"    public LazyDynaBean() {
        this(new LazyDynaClass());
    }","  public void test0()  throws Throwable  {
      LazyDynaBean lazyDynaBean0 = null;
      try {
        lazyDynaBean0 = new LazyDynaBean((DynaClass) null);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.commons.beanutils.LazyDynaBean"", e);
      }
  }"
1,"    public LazyDynaBean() {
        this(new LazyDynaClass());
    }","  public void test1()  throws Throwable  {
      LazyDynaBean lazyDynaBean0 = new LazyDynaBean();
  }"
2,"    public LazyDynaBean() {
        this(new LazyDynaClass());
    }","  public void test2()  throws Throwable  {
      Class<ConvertingWrapDynaBean> class0 = ConvertingWrapDynaBean.class;
      WrapDynaClass wrapDynaClass0 = WrapDynaClass.createDynaClass(class0);
      LazyDynaBean lazyDynaBean0 = new LazyDynaBean(wrapDynaClass0);
  }"
3,"    public LazyDynaBean() {
        this(new LazyDynaClass());
    }","  public void test3()  throws Throwable  {
      LazyDynaBean lazyDynaBean0 = new LazyDynaBean("""");
  }"
4,"    public Class<?> getTargetClass() {
        return currentClass;
    }","  public void test0()  throws Throwable  {
      DefaultIntrospectionContext defaultIntrospectionContext0 = new DefaultIntrospectionContext((Class<?>) null);
      Class<?> class0 = defaultIntrospectionContext0.getTargetClass();
}"
5,"    public Class<?> getTargetClass() {
        return currentClass;
    }","  public void test1()  throws Throwable  {
      Class<Annotation> class0 = Annotation.class;
      DefaultIntrospectionContext defaultIntrospectionContext0 = new DefaultIntrospectionContext(class0);
      Class<?> class1 = defaultIntrospectionContext0.getTargetClass();
}"
6,"    public PropertyDescriptor[] getPropertyDescriptors() {
        return descriptors.values().toArray(EMPTY_DESCRIPTORS);
    }","  public void test2()  throws Throwable  {
      Class<Object> class0 = Object.class;
      DefaultIntrospectionContext defaultIntrospectionContext0 = new DefaultIntrospectionContext(class0);
      PropertyDescriptor propertyDescriptor0 = new PropertyDescriptor(""Property descriptor must not be null!"", class0, (String) null, (String) null);
      defaultIntrospectionContext0.addPropertyDescriptor(propertyDescriptor0);
      PropertyDescriptor[] propertyDescriptorArray0 = defaultIntrospectionContext0.getPropertyDescriptors();
}"
7,"    public PropertyDescriptor getPropertyDescriptor(final String name) {
        return descriptors.get(name);
    }","  public void test3()  throws Throwable  {
      Class<Object> class0 = Object.class;
      DefaultIntrospectionContext defaultIntrospectionContext0 = new DefaultIntrospectionContext(class0);
      PropertyDescriptor propertyDescriptor0 = new PropertyDescriptor("" y%"", class0, (String) null, (String) null);
      propertyDescriptor0.setPreferred(true);
      defaultIntrospectionContext0.addPropertyDescriptor(propertyDescriptor0);
      PropertyDescriptor propertyDescriptor1 = defaultIntrospectionContext0.getPropertyDescriptor("" y%"");
}"
8,"    public PropertyDescriptor getPropertyDescriptor(final String name) {
        return descriptors.get(name);
    }","  public void test4()  throws Throwable  {
      Class<Object> class0 = Object.class;
      DefaultIntrospectionContext defaultIntrospectionContext0 = new DefaultIntrospectionContext(class0);
      PropertyDescriptor propertyDescriptor0 = new PropertyDescriptor(""Property descriptor must not be null!"", class0, (String) null, (String) null);
      propertyDescriptor0.setHidden(true);
      defaultIntrospectionContext0.addPropertyDescriptor(propertyDescriptor0);
      PropertyDescriptor propertyDescriptor1 = defaultIntrospectionContext0.getPropertyDescriptor(""Property descriptor must not be null!"");
}"
9,"    public PropertyDescriptor getPropertyDescriptor(final String name) {
        return descriptors.get(name);
    }","  public void test5()  throws Throwable  {
      Class<Object> class0 = Object.class;
      DefaultIntrospectionContext defaultIntrospectionContext0 = new DefaultIntrospectionContext(class0);
      PropertyDescriptor propertyDescriptor0 = new PropertyDescriptor("" y%"", class0, (String) null, (String) null);
      propertyDescriptor0.setExpert(true);
      defaultIntrospectionContext0.addPropertyDescriptor(propertyDescriptor0);
      PropertyDescriptor propertyDescriptor1 = defaultIntrospectionContext0.getPropertyDescriptor("" y%"");
}"
10,"    public PropertyDescriptor getPropertyDescriptor(final String name) {
        return descriptors.get(name);
    }","  public void test6()  throws Throwable  {
      Class<Object> class0 = Object.class;
      DefaultIntrospectionContext defaultIntrospectionContext0 = new DefaultIntrospectionContext(class0);
      PropertyDescriptor propertyDescriptor0 = new PropertyDescriptor(""M y%"", class0, (String) null, (String) null);
      propertyDescriptor0.setConstrained(true);
      defaultIntrospectionContext0.addPropertyDescriptor(propertyDescriptor0);
      PropertyDescriptor propertyDescriptor1 = defaultIntrospectionContext0.getPropertyDescriptor(""M y%"");
}"
