,method,test
0,"    public static void fatal(final Log vfsLog, final Log commonsLog, final String message, final Throwable t) {
        if (vfsLog != null) {
            vfsLog.fatal(message, t);
        } else if (commonsLog != null) {
            commonsLog.fatal(message, t);
        }
    }","  public void test0()  throws Throwable  {
      Jdk14Logger jdk14Logger0 = new Jdk14Logger("")qyTvK-YWNFB(HIz|"");
      Log4JLogger log4JLogger0 = new Log4JLogger();
      VfsLog.fatal((Log) jdk14Logger0, (Log) log4JLogger0, ""dirFilter"");
  }"
1,"    public static void fatal(final Log vfsLog, final Log commonsLog, final String message, final Throwable t) {
        if (vfsLog != null) {
            vfsLog.fatal(message, t);
        } else if (commonsLog != null) {
            commonsLog.fatal(message, t);
        }
    }","  public void test1()  throws Throwable  {
      Log4JLogger log4JLogger0 = new Log4JLogger("""");
      MockThrowable mockThrowable0 = new MockThrowable();
      Jdk14Logger jdk14Logger0 = new Jdk14Logger("""");
      VfsLog.fatal((Log) log4JLogger0, (Log) jdk14Logger0, """", (Throwable) mockThrowable0);
}"
2,"    public static void error(final Log vfsLog, final Log commonsLog, final String message, final Throwable t) {
        if (vfsLog != null) {
            vfsLog.error(message, t);
        } else if (commonsLog != null) {
            commonsLog.error(message, t);
        }
    }","  public void test2()  throws Throwable  {
      NoOpLog noOpLog0 = new NoOpLog();
      Log4JLogger log4JLogger0 = new Log4JLogger("""");
      VfsLog.error((Log) log4JLogger0, (Log) noOpLog0, """");
}"
3,"    public static void info(final Log vfsLog, final Log commonsLog, final String message, final Throwable t) {
        if (vfsLog != null) {
            vfsLog.info(message, t);
        } else if (commonsLog != null) {
            commonsLog.info(message, t);
        }
    }","  public void test3()  throws Throwable  {
      Jdk14Logger jdk14Logger0 = new Jdk14Logger(""MLFDS^Qr1{"");
      VfsLog.info((Log) jdk14Logger0, (Log) null, ""tb"");
  }"
4,"    public static void info(final Log vfsLog, final Log commonsLog, final String message, final Throwable t) {
        if (vfsLog != null) {
            vfsLog.info(message, t);
        } else if (commonsLog != null) {
            commonsLog.info(message, t);
        }
    }","  public void test4()  throws Throwable  {
      NoOpLog noOpLog0 = new NoOpLog("""");
      NoOpLog noOpLog1 = new NoOpLog("""");
      VfsLog.info((Log) noOpLog1, (Log) noOpLog0, """", (Throwable) null);
}"
5,"    public static void debug(final Log vfsLog, final Log commonslog, final String message) {
        if (vfsLog != null) {
            vfsLog.debug(message);
        } else if (commonslog != null) {
            commonslog.debug(message);
        }
    }","  public void test5()  throws Throwable  {
      NoOpLog noOpLog0 = new NoOpLog("""");
      NoOpLog noOpLog1 = new NoOpLog("""");
      VfsLog.debug((Log) noOpLog1, (Log) noOpLog0, ""_*;H+@`HqA3=~IH"", (Throwable) null);
}"
6,"    public static void debug(final Log vfsLog, final Log commonslog, final String message) {
        if (vfsLog != null) {
            vfsLog.debug(message);
        } else if (commonslog != null) {
            commonslog.debug(message);
        }
    }","  public void test6()  throws Throwable  {
      Jdk13LumberjackLogger jdk13LumberjackLogger0 = new Jdk13LumberjackLogger(""rg.apache.commonsNvfs2.VfsLog"");
      VfsLog.debug((Log) jdk13LumberjackLogger0, (Log) null, (String) null);
  }"
7,"    public static void warn(final Log vfsLog, final Log commonslog, final String message, final Throwable t) {
        if (vfsLog != null) {
            vfsLog.warn(message, t);
        } else if (commonslog != null) {
            commonslog.warn(message, t);
        }
    }","  public void test7()  throws Throwable  {
      SimpleLog simpleLog0 = new SimpleLog((String) null);
      SQLDataException sQLDataException0 = new SQLDataException(""[3eMD"", (String) null, 5);
      SQLNonTransientConnectionException sQLNonTransientConnectionException0 = new SQLNonTransientConnectionException(sQLDataException0);
      // Undeclared exception!
      try { 
        VfsLog.warn((Log) simpleLog0, (Log) simpleLog0, (String) null, (Throwable) sQLNonTransientConnectionException0);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.commons.logging.impl.SimpleLog"", e);
      }
  }"
8,"    public static void warn(final Log vfsLog, final Log commonslog, final String message, final Throwable t) {
        if (vfsLog != null) {
            vfsLog.warn(message, t);
        } else if (commonslog != null) {
            commonslog.warn(message, t);
        }
    }","  public void test8()  throws Throwable  {
      Log4JLogger log4JLogger0 = new Log4JLogger();
      SQLNonTransientConnectionException sQLNonTransientConnectionException0 = new SQLNonTransientConnectionException();
      // Undeclared exception!
      try { 
        VfsLog.warn((Log) log4JLogger0, (Log) log4JLogger0, """", (Throwable) sQLNonTransientConnectionException0);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.log4j.CategoryKey"", e);
      }
  }"
9,"    public static void warn(final Log vfsLog, final Log commonslog, final String message, final Throwable t) {
        if (vfsLog != null) {
            vfsLog.warn(message, t);
        } else if (commonslog != null) {
            commonslog.warn(message, t);
        }
    }","  public void test9()  throws Throwable  {
      Log4JLogger log4JLogger0 = new Log4JLogger();
      // Undeclared exception!
      try { 
        VfsLog.warn((Log) log4JLogger0, (Log) log4JLogger0, "")qyTvK-YWNFB(HIz|"");
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.log4j.CategoryKey"", e);
      }
  }"
