,method,test
0,"    public double getNormalizedAzimuth() {
        return normalizedAzimuth;
    }","  public void test0()  throws Throwable  {
      PolarCoordinates polarCoordinates0 = PolarCoordinates.fromCartesian(0.0, 0.0);
      Point1S point1S0 = Point1S.from(polarCoordinates0);
      Point1S point1S1 = Point1S.PI;
      Precision.DoubleEquivalence precision_DoubleEquivalence0 = mock(Precision.DoubleEquivalence.class, new ViolatedAssumptionAnswer());
      doReturn(false).when(precision_DoubleEquivalence0).eqZero(anyDouble());
      point1S0.eq(point1S1, precision_DoubleEquivalence0);
}"
1,"    public double getAzimuth() {
        return azimuth;
    }","  public void test1()  throws Throwable  {
      PolarCoordinates polarCoordinates0 = PolarCoordinates.fromCartesian(0.0, 0.0);
      Point1S point1S0 = Point1S.from(polarCoordinates0);
      Point1S point1S1 = Point1S.PI;
      Precision.DoubleEquivalence precision_DoubleEquivalence0 = mock(Precision.DoubleEquivalence.class, new ViolatedAssumptionAnswer());
      doReturn(false).when(precision_DoubleEquivalence0).eqZero(anyDouble());
      point1S0.eq(point1S1, precision_DoubleEquivalence0);
}"
2,"    public double getNormalizedAzimuth() {
        return normalizedAzimuth;
    }","  public void test2()  throws Throwable  {
      PolarCoordinates polarCoordinates0 = PolarCoordinates.fromCartesian((-3.0867615180281858), 7.853981633974483);
      Point1S point1S0 = Point1S.from(polarCoordinates0);
      Point1S point1S1 = Point1S.of((-2.141592653589793));
      boolean boolean0 = point1S1.equals(point1S0);
}"
3,"    public double getAzimuth() {
        return azimuth;
    }","  public void test3()  throws Throwable  {
      PolarCoordinates polarCoordinates0 = PolarCoordinates.fromCartesian((-3.0867615180281858), 7.853981633974483);
      Point1S point1S0 = Point1S.from(polarCoordinates0);
      Point1S point1S1 = Point1S.of((-2.141592653589793));
      boolean boolean0 = point1S1.equals(point1S0);
}"
4,"    public boolean equals(final Object other) {
        if (this == other) {
            return true;
        }

        if (other instanceof Point1S) {
            final Point1S rhs = (Point1S) other;

            if (rhs.isNaN()) {
                return this.isNaN();
            }

            return Double.compare(azimuth, rhs.azimuth) == 0 &&
                    Double.compare(normalizedAzimuth, rhs.normalizedAzimuth) == 0;
        }

        return false;
    }","  public void test4()  throws Throwable  {
      PolarCoordinates polarCoordinates0 = PolarCoordinates.fromCartesian((-3.0867615180281858), 7.853981633974483);
      Point1S point1S0 = Point1S.from(polarCoordinates0);
      Point1S point1S1 = Point1S.of((-2.141592653589793));
      boolean boolean0 = point1S1.equals(point1S0);
}"
5,"    public double getNormalizedAzimuth() {
        return normalizedAzimuth;
    }","  public void test5()  throws Throwable  {
      PolarCoordinates polarCoordinates0 = PolarCoordinates.fromCartesian((-3.0867615180281858), 7.853981633974483);
      Point1S point1S0 = Point1S.from(polarCoordinates0);
      Point1S point1S1 = Point1S.of((-2.141592653589793));
      boolean boolean0 = point1S1.equals(point1S0);
}"
6,"    public double getAzimuth() {
        return azimuth;
    }","  public void test6()  throws Throwable  {
      PolarCoordinates polarCoordinates0 = PolarCoordinates.fromCartesian((-3.0867615180281858), 7.853981633974483);
      Point1S point1S0 = Point1S.from(polarCoordinates0);
      Point1S point1S1 = Point1S.of((-2.141592653589793));
      boolean boolean0 = point1S1.equals(point1S0);
}"
7,"    public double getAzimuth() {
        return azimuth;
    }","  public void test7()  throws Throwable  {
      PolarCoordinates polarCoordinates0 = PolarCoordinates.of((-2031.388), 601.1);
      Point1S point1S0 = Point1S.from(polarCoordinates0);
      point1S0.hashCode();
}"
8,"    public double getNormalizedAzimuth() {
        return normalizedAzimuth;
    }","  public void test8()  throws Throwable  {
      PolarCoordinates polarCoordinates0 = PolarCoordinates.of((-2031.388), 601.1);
      Point1S point1S0 = Point1S.from(polarCoordinates0);
      point1S0.hashCode();
}"
9,"    public double getAzimuth() {
        return azimuth;
    }","  public void test9()  throws Throwable  {
      Point1S point1S0 = Point1S.of(Double.POSITIVE_INFINITY);
      Point1S point1S1 = point1S0.antipodal();
}"
